SOA1;SOA2;StimTargetID;StimPair1Bg;StimPair1Target;StimPair2Bg;StimPair2Target;Ring;TargetLuminance;BgLuminance;TargetSelected;TOJ1Correct;TOJ2Correct;Tutorial;InAsteroidField;PresentationSpeed;RingPassSpeed;StationCount;PresentationTurbo;RingPassTurbo;StationExploded;GameTime
0.3;0.3;3;0;2;1;3;1;0.265;0.3451;false;true;true;true;false;1800;1800;0;false;false;false;55.27097
0.3;0.3;3;2;0;1;3;2;0.265;0.3451;false;true;true;true;false;1800;1800;0;false;false;false;62.03012
0.3;0.3;2;1;3;0;2;1;0.265;0.3451;false;true;true;true;true;1800;1800;0;false;false;false;68.77087
0;-0.05;3;0;2;1;3;0;0.3451;0.3451;true;true;true;false;false;1828.25488;1875.94788;3;false;false;false;88.1938
0;0.1;3;1;3;2;0;3;0.87843;0.3451;true;false;true;false;false;1908.54163;1946.73267;4;false;false;false;95.2254
-0.05;0.1;1;3;1;0;2;0;0.47059;0.3451;false;false;true;false;false;3419.92896;2014.91907;5;true;false;false;102.01737
-0.05;-0.05;3;1;3;0;2;0;0.3451;0.3451;true;true;false;false;false;2045.224;2085.47168;6;false;false;false;109.03143
-0.1;0.05;1;0;2;3;1;3;0.59608;0.3451;false;true;true;false;false;2112.1792;2153.62085;7;false;false;false;115.81113
0.05;0.1;1;3;1;0;2;0;0.59608;0.3451;false;true;true;false;false;3289.53198;2215.4812;8;false;false;false;121.97244
0;-0.05;2;1;3;0;2;0;0.47059;0.3451;false;false;false;false;false;2243.10815;2331.21216;9;false;false;false;127.95474
0.1;0.1;2;3;1;0;2;0;0.47059;0.3451;false;true;true;false;false;2741.61768;2338.30835;10;true;false;false;134.19205
-0.1;-0.1;2;3;1;0;2;2;0.3451;0.3451;true;true;true;false;false;3242.427;2395.46851;11;true;false;false;139.87027
0.1;-0.05;1;0;2;3;1;1;0.59608;0.3451;true;true;true;false;false;2420.89917;2451.13623;12;false;false;false;145.40994
0;0;2;0;2;1;3;0;0.3451;0.3451;false;true;false;false;false;2476.06616;2511.60913;13;false;false;false;151.41971
0;0;3;0;2;1;3;0;0.59608;0.3451;true;true;false;false;false;2535.93945;2694.90112;14;false;false;false;156.68936
0;-0.1;1;0;2;3;1;1;0.3451;0.3451;true;true;true;false;false;2588.30371;4009.35107;15;false;false;false;161.52899
-0.05;0;3;1;3;2;0;0;0.59608;0.3451;true;true;false;false;false;2636.15967;2666.39038;16;false;false;false;166.82677
-0.1;-0.05;3;1;3;0;2;0;0.3451;0.3451;true;true;false;false;false;2689.31274;2717.82129;17;false;false;false;171.9623
-0.1;-0.1;2;3;1;0;2;2;0.47059;0.3451;true;true;true;false;false;3391.54297;2769.07129;18;false;false;false;177.05959
0.05;0.05;2;1;3;0;2;1;0.87843;0.3451;false;true;true;false;false;2791.19287;2818.11914;19;false;false;false;181.93697
-0.1;0.05;2;1;3;0;2;0;0.47059;0.3451;false;true;true;false;false;3021.92773;2866.37354;20;false;false;false;186.74591
0;0.05;2;0;2;3;1;0;0.3451;0.3451;false;true;true;false;true;2887.73022;3083.13892;23;false;false;false;191.66682
0.1;0;0;2;0;1;3;0;0.3451;0.3451;true;false;false;false;true;3377.39307;2964.3772;23;false;false;false;196.51184
0.05;-0.1;0;3;1;2;0;0;0.59608;0.3451;true;true;true;false;false;3064.17651;3091.60352;23;false;false;false;209.1757
0.1;-0.05;0;2;0;3;1;2;0.3451;0.3451;false;true;true;false;false;3111.4231;3577.49463;24;false;false;false;213.77426
0;0.05;2;3;1;0;2;1;0.47059;0.3451;false;false;true;false;false;4541.47852;3180.20654;25;true;false;false;218.01404
0.1;-0.1;3;1;3;2;0;1;0.87843;0.3451;false;true;true;false;false;3199.22974;3402.49194;26;false;false;false;222.31302
0.05;-0.05;0;2;0;1;3;3;0.3451;0.3451;false;true;true;false;false;3242.07251;3267.60205;27;false;false;false;226.72223
-0.1;-0.05;1;2;0;3;1;0;0.87843;0.3451;false;true;false;false;false;3896.81738;3311.146;28;true;false;false;231.05818
-0.05;-0.05;0;2;0;1;3;1;0.47059;0.3451;true;true;false;false;false;3329.34375;3385.75488;29;false;false;false;235.31616
0.1;0.1;1;3;1;0;2;0;0.59608;0.3451;false;true;true;false;false;3371.18457;3575.72363;30;false;false;false;239.39398
