SOA1;SOA2;StimTargetID;StimPair1Bg;StimPair1Target;StimPair2Bg;StimPair2Target;Ring;TargetLuminance;BgLuminance;TargetSelected;TOJ1Correct;TOJ2Correct;Tutorial;InAsteroidField;PresentationSpeed;RingPassSpeed;StationCount;PresentationTurbo;RingPassTurbo;StationExploded;GameTime
0.3;0.3;3;0;2;1;3;1;0.265;0.3451;false;true;true;true;false;1800;1800;0;false;false;false;47.85524
0.3;0.3;2;1;3;0;2;1;0.265;0.3451;false;true;true;true;false;1800;1800;0;false;false;false;55.68189
0.3;0.3;0;3;1;2;0;3;0.265;0.3451;false;true;true;true;true;1800;1800;0;false;false;false;63.04011
0.1;0;1;3;1;2;0;1;0.59608;0.3451;true;false;false;false;false;3485.68774;1856.42102;3;false;false;false;93.04921
0.05;0.05;3;1;3;2;0;2;0.3451;0.3451;false;true;true;false;false;1889.35205;1935.53186;4;false;false;false;100.90202
0.1;0.05;2;0;2;1;3;1;0.59608;0.3451;false;true;true;false;false;1967.13953;2011.51111;5;false;false;false;108.47144
0;-0.1;3;1;3;0;2;3;0.3451;0.3451;true;false;true;false;false;2041.78577;2084.61597;6;false;false;false;115.7437
0;-0.05;1;3;1;0;2;2;0.59608;0.3451;true;false;true;false;false;2113.89478;2155.29175;7;false;false;false;122.6523
-0.1;0.05;0;2;0;1;3;1;0.3451;0.3451;true;true;true;false;false;4005.37158;4414.6499;8;false;true;false;126.97804
-0.05;0.1;1;0;2;3;1;3;0.3451;0.3451;false;true;true;false;false;2777.57422;4716.0166;9;false;false;false;131.50613
0;0.05;3;1;3;2;0;2;0.47059;0.3451;false;true;true;false;false;2265.84912;2304.59521;10;false;false;false;137.63243
-0.1;0;2;1;3;0;2;3;0.47059;0.3451;true;true;false;false;false;2330.96606;2368.62012;11;false;false;false;144.00755
0.05;-0.1;0;2;0;1;3;3;0.47059;0.3451;false;true;true;false;false;2394.40527;4739.50781;12;false;true;false;149.0329
-0.05;0.05;3;0;2;1;3;2;0.3451;0.3451;false;true;true;false;false;3448.34131;4707.08496;13;false;true;false;153.19638
0.1;0.1;2;0;2;3;1;0;0.47059;0.3451;false;true;true;false;false;3396.24072;4618.49463;14;false;false;false;157.27254
-0.05;0;2;1;3;0;2;3;0.87843;0.3451;true;true;false;false;false;2523.63135;4771.30859;15;false;true;false;161.89076
-0.05;0;1;3;1;2;0;3;0.59608;0.3451;false;false;true;false;false;2626.27612;3765.63208;16;false;true;false;166.6391
0;0.05;1;2;0;3;1;2;0.47059;0.3451;true;true;false;false;false;2618.91724;3055.05884;17;false;true;false;171.99387
0.05;0.1;2;3;1;0;2;0;0.3451;0.3451;false;true;true;false;false;2672.17334;2704.57837;18;false;false;false;177.50092
0.1;0.1;0;2;0;1;3;2;0.59608;0.3451;false;true;true;false;false;2727.23242;2759.38916;19;false;false;false;182.95682
-0.1;-0.1;0;1;3;2;0;0;0.87843;0.3451;true;true;true;false;false;2781.45068;4186.57373;20;false;false;false;187.6671
0.05;0;3;0;2;1;3;0;0.3451;0.3451;true;true;false;false;true;2828.08154;3482.54858;23;false;false;false;192.35553
-0.05;-0.05;2;0;2;1;3;3;0.59608;0.3451;true;true;true;false;true;2874.96606;4423.52979;23;false;true;false;196.9787
-0.1;-0.1;1;2;0;3;1;1;0.3451;0.3451;true;true;true;false;false;2989.55103;3017.17871;23;false;false;false;208.66811
0.1;0;0;1;3;2;0;3;0.47059;0.3451;false;false;true;false;false;3037.59082;3066.51587;24;false;false;false;213.5892
-0.1;-0.05;1;2;0;3;1;1;0.47059;0.3451;true;true;true;false;false;3086.60107;4361.26611;25;false;false;false;217.92242
-0.05;0.05;2;0;2;3;1;0;0.3451;0.3451;false;false;true;false;false;3129.20825;4520.19873;26;false;true;false;222.28885
-0.05;-0.05;0;2;0;1;3;0;0.87843;0.3451;true;true;true;false;false;3172.53345;3416.49292;27;false;false;false;226.62923
0;0.05;1;0;2;3;1;3;0.59608;0.3451;false;false;true;false;false;3216.13281;3243.50903;28;false;false;false;231.26349
0;-0.1;3;0;2;1;3;0;0.47059;0.3451;true;true;true;false;false;3262.35303;4051.24683;29;false;true;false;235.64081
-0.05;-0.1;1;3;1;2;0;1;0.87843;0.3451;true;true;true;false;false;3305.82324;4931.40283;30;false;true;false;239.64716
-0.1;-0.05;0;2;0;1;3;0;0.47059;0.3451;true;true;true;false;false;3884.24683;4105.88379;31;false;false;false;243.46986
-0.05;0.1;0;1;3;2;0;3;0.59608;0.3451;false;true;true;false;false;3384.01465;4859.46729;32;false;false;false;247.41321
0;0;0;2;0;3;1;2;0.87843;0.3451;false;true;false;false;false;3422.81323;4955.89209;33;false;true;false;251.34122
0.1;-0.1;2;3;1;0;2;3;0.59608;0.3451;true;true;true;false;false;3461.677;4271.60547;34;false;false;false;255.28368
-0.05;0.1;2;1;3;0;2;0;0.47059;0.3451;false;true;true;false;false;3501.83252;4843.45117;35;false;false;false;259.11331
-0.1;0;3;1;3;0;2;0;0.59608;0.3451;true;true;true;false;false;3539.71289;5072.75879;36;false;true;false;262.9274
