TargetLuminance=0.345
-0.1;-0.05;0;0.05;0.1
105;105;105;105;105
89;80;56;15;18

TargetLuminance=0.471
-0.1;-0.05;0;0.05;0.1
105;105;105;105;105
91;86;46;20;24

TargetLuminance=0.596
-0.1;-0.05;0;0.05;0.1
105;105;105;105;105
89;81;61;19;15

TargetLuminance=0.878
-0.1;-0.05;0;0.05;0.1
105;105;105;105;105
90;79;51;19;25

